cancer_type,normalization,batch_num,status,start_time,end_time,duration_seconds,error_message
PAAD,raw,16,success,2026-01-21T18:57:46.843713,2026-01-21T18:57:50.584894,3.741181,
PAAD,raw,17,success,2026-01-21T18:57:50.585813,2026-01-21T18:57:54.396464,3.810651,
PAAD,raw,18,success,2026-01-21T18:57:54.397445,2026-01-21T18:57:58.136176,3.738731,
PAAD,raw,19,success,2026-01-21T18:57:58.137034,2026-01-21T18:58:02.025144,3.88811,
PAAD,raw,20,success,2026-01-21T18:58:02.026025,2026-01-21T18:58:05.796726,3.770701,
PAAD,TC,1,success,2026-01-21T18:58:05.797628,2026-01-21T18:58:09.623650,3.826022,
PAAD,TC,2,success,2026-01-21T18:58:09.624621,2026-01-21T18:58:13.480432,3.855811,
PAAD,TC,3,success,2026-01-21T18:58:13.481385,2026-01-21T18:58:17.236720,3.755335,
PAAD,TC,4,success,2026-01-21T18:58:17.237626,2026-01-21T18:58:21.096124,3.858498,
PAAD,TC,5,success,2026-01-21T18:58:21.097042,2026-01-21T18:58:24.901921,3.804879,
PAAD,TC,6,success,2026-01-21T18:58:24.902875,2026-01-21T18:58:28.788914,3.886039,
PAAD,TC,7,success,2026-01-21T18:58:28.789882,2026-01-21T18:58:32.595231,3.805349,
PAAD,TC,8,success,2026-01-21T18:58:32.596155,2026-01-21T18:58:36.558138,3.961983,
PAAD,TC,9,success,2026-01-21T18:58:36.559154,2026-01-21T18:58:40.694114,4.13496,
PAAD,TC,10,success,2026-01-21T18:58:40.695048,2026-01-21T18:58:44.604709,3.909661,
PAAD,TC,11,success,2026-01-21T18:58:44.605659,2026-01-21T18:58:48.430742,3.825083,
PAAD,TC,12,success,2026-01-21T18:58:48.431690,2026-01-21T18:58:52.289756,3.858066,
PAAD,TC,13,success,2026-01-21T18:58:52.290674,2026-01-21T18:58:56.151362,3.860688,
PAAD,TC,14,success,2026-01-21T18:58:56.152330,2026-01-21T18:58:59.949936,3.797606,
PAAD,TC,15,success,2026-01-21T18:58:59.950907,2026-01-21T18:59:03.815754,3.864847,
PAAD,TC,16,success,2026-01-21T18:59:03.816687,2026-01-21T18:59:07.655891,3.839204,
PAAD,TC,17,success,2026-01-21T18:59:07.656811,2026-01-21T18:59:11.498936,3.842125,
PAAD,TC,18,success,2026-01-21T18:59:11.499875,2026-01-21T18:59:15.400416,3.900541,
PAAD,TC,19,success,2026-01-21T18:59:15.401359,2026-01-21T18:59:19.173286,3.771927,
PAAD,TC,20,success,2026-01-21T18:59:19.174218,2026-01-21T18:59:23.033027,3.858809,
PAAD,DESeq,1,success,2026-01-21T18:59:23.033974,2026-01-21T18:59:26.943376,3.909402,
PAAD,DESeq,2,success,2026-01-21T18:59:26.944367,2026-01-21T18:59:30.327440,3.383073,
PAAD,DESeq,3,success,2026-01-21T18:59:30.328391,2026-01-21T18:59:34.225334,3.896943,
PAAD,DESeq,4,success,2026-01-21T18:59:34.226244,2026-01-21T18:59:38.109647,3.883403,
PAAD,DESeq,5,success,2026-01-21T18:59:38.110575,2026-01-21T18:59:42.011844,3.901269,
PAAD,DESeq,6,success,2026-01-21T18:59:42.012765,2026-01-21T18:59:45.779911,3.767146,
PAAD,DESeq,7,success,2026-01-21T18:59:45.780864,2026-01-21T18:59:49.639285,3.858421,
PAAD,DESeq,8,success,2026-01-21T18:59:49.640332,2026-01-21T18:59:53.504437,3.864105,
PAAD,DESeq,9,success,2026-01-21T18:59:53.505371,2026-01-21T18:59:57.343804,3.838433,
PAAD,DESeq,10,success,2026-01-21T18:59:57.344770,2026-01-21T19:00:01.157586,3.812816,
PAAD,DESeq,11,success,2026-01-21T19:00:01.158566,2026-01-21T19:00:05.042801,3.884235,
PAAD,DESeq,12,success,2026-01-21T19:00:05.043735,2026-01-21T19:00:08.892403,3.848668,
PAAD,DESeq,13,success,2026-01-21T19:00:08.893365,2026-01-21T19:00:12.800942,3.907577,
PAAD,DESeq,14,success,2026-01-21T19:00:12.801857,2026-01-21T19:00:16.547097,3.74524,
PAAD,DESeq,15,success,2026-01-21T19:00:16.548119,2026-01-21T19:00:20.422359,3.87424,
PAAD,DESeq,16,success,2026-01-21T19:00:20.423347,2026-01-21T19:00:24.307640,3.884293,
PAAD,DESeq,17,success,2026-01-21T19:00:24.308650,2026-01-21T19:00:28.120125,3.811475,
PAAD,DESeq,18,success,2026-01-21T19:00:28.121103,2026-01-21T19:00:32.002954,3.881851,
PAAD,DESeq,19,success,2026-01-21T19:00:32.003921,2026-01-21T19:00:35.800149,3.796228,
PAAD,DESeq,20,success,2026-01-21T19:00:35.801410,2026-01-21T19:00:39.676906,3.875496,
READ,raw,1,success,2026-01-21T19:00:39.677882,2026-01-21T19:00:42.107571,2.429689,
READ,raw,2,success,2026-01-21T19:00:42.108552,2026-01-21T19:00:45.376096,3.267544,
READ,raw,3,success,2026-01-21T19:00:45.377044,2026-01-21T19:00:48.676891,3.299847,
READ,raw,4,success,2026-01-21T19:00:48.677881,2026-01-21T19:00:51.898255,3.220374,
READ,raw,5,success,2026-01-21T19:00:51.899210,2026-01-21T19:00:55.217523,3.318313,
READ,raw,6,success,2026-01-21T19:00:55.218486,2026-01-21T19:00:58.514013,3.295527,
READ,raw,7,success,2026-01-21T19:00:58.514981,2026-01-21T19:01:01.732117,3.217136,
READ,raw,8,success,2026-01-21T19:01:01.733168,2026-01-21T19:01:05.148036,3.414868,
READ,raw,9,success,2026-01-21T19:01:05.148983,2026-01-21T19:01:08.407989,3.259006,
READ,raw,10,success,2026-01-21T19:01:08.408959,2026-01-21T19:01:11.688502,3.279543,
READ,raw,11,success,2026-01-21T19:01:11.689477,2026-01-21T19:01:14.984706,3.295229,
READ,raw,12,success,2026-01-21T19:01:14.985727,2026-01-21T19:01:18.323656,3.337929,
READ,raw,13,success,2026-01-21T19:01:18.324644,2026-01-21T19:01:21.590986,3.266342,
READ,raw,14,success,2026-01-21T19:01:21.592007,2026-01-21T19:01:24.954451,3.362444,
READ,raw,15,success,2026-01-21T19:01:24.955451,2026-01-21T19:01:28.217929,3.262478,
READ,raw,16,success,2026-01-21T19:01:28.218887,2026-01-21T19:01:31.462348,3.243461,
READ,raw,17,success,2026-01-21T19:01:31.463314,2026-01-21T19:01:34.806506,3.343192,
READ,raw,18,success,2026-01-21T19:01:34.807477,2026-01-21T19:01:38.108456,3.300979,
READ,raw,19,success,2026-01-21T19:01:38.109437,2026-01-21T19:01:41.399638,3.290201,
READ,raw,20,success,2026-01-21T19:01:41.400621,2026-01-21T19:01:44.735528,3.334907,
READ,TC,1,success,2026-01-21T19:01:44.736560,2026-01-21T19:01:48.052131,3.315571,
READ,TC,2,success,2026-01-21T19:01:48.053193,2026-01-21T19:01:51.422250,3.369057,
READ,TC,3,success,2026-01-21T19:01:51.423328,2026-01-21T19:01:54.768561,3.345233,
READ,TC,4,success,2026-01-21T19:01:54.769580,2026-01-21T19:01:58.169429,3.399849,
READ,TC,5,success,2026-01-21T19:01:58.170398,2026-01-21T19:02:01.444568,3.27417,
READ,TC,6,success,2026-01-21T19:02:01.445573,2026-01-21T19:02:04.861663,3.41609,
READ,TC,7,success,2026-01-21T19:02:04.862756,2026-01-21T19:02:08.218931,3.356175,
READ,TC,8,success,2026-01-21T19:02:08.220051,2026-01-21T19:02:11.516208,3.296157,
READ,TC,9,success,2026-01-21T19:02:11.517179,2026-01-21T19:02:14.844094,3.326915,
READ,TC,10,success,2026-01-21T19:02:14.845089,2026-01-21T19:02:18.242766,3.397677,
READ,TC,11,success,2026-01-21T19:02:18.243808,2026-01-21T19:02:21.523899,3.280091,
READ,TC,12,success,2026-01-21T19:02:21.524954,2026-01-21T19:02:24.948551,3.423597,
READ,TC,13,success,2026-01-21T19:02:24.949588,2026-01-21T19:02:28.173498,3.22391,
READ,TC,14,success,2026-01-21T19:02:28.174506,2026-01-21T19:02:31.440585,3.266079,
READ,TC,15,success,2026-01-21T19:02:31.441605,2026-01-21T19:02:34.711801,3.270196,
READ,TC,16,success,2026-01-21T19:02:34.712809,2026-01-21T19:02:37.986528,3.273719,
READ,TC,17,success,2026-01-21T19:02:37.987593,2026-01-21T19:02:41.335652,3.348059,
READ,TC,18,success,2026-01-21T19:02:41.336676,2026-01-21T19:02:44.609907,3.273231,
READ,TC,19,success,2026-01-21T19:02:44.610889,2026-01-21T19:02:47.832364,3.221475,
READ,TC,20,success,2026-01-21T19:02:47.833369,2026-01-21T19:02:51.103958,3.270589,
READ,DESeq,1,success,2026-01-21T19:02:51.104965,2026-01-21T19:02:54.301273,3.196308,
READ,DESeq,2,success,2026-01-21T19:02:54.302293,2026-01-21T19:02:55.706123,1.40383,
READ,DESeq,3,success,2026-01-21T19:02:55.707141,2026-01-21T19:02:58.952586,3.245445,
READ,DESeq,4,success,2026-01-21T19:02:58.953658,2026-01-21T19:03:02.234620,3.280962,
READ,DESeq,5,success,2026-01-21T19:03:02.235749,2026-01-21T19:03:05.552878,3.317129,
READ,DESeq,6,success,2026-01-21T19:03:05.553886,2026-01-21T19:03:08.772510,3.218624,
READ,DESeq,7,success,2026-01-21T19:03:08.773528,2026-01-21T19:03:12.062811,3.289283,
READ,DESeq,8,success,2026-01-21T19:03:12.063831,2026-01-21T19:03:15.306695,3.242864,
READ,DESeq,9,success,2026-01-21T19:03:15.307709,2026-01-21T19:03:18.595759,3.28805,
READ,DESeq,10,success,2026-01-21T19:03:18.596821,2026-01-21T19:03:21.944799,3.347978,
READ,DESeq,11,success,2026-01-21T19:03:21.945819,2026-01-21T19:03:25.206282,3.260463,
READ,DESeq,12,success,2026-01-21T19:03:25.207300,2026-01-21T19:03:28.500766,3.293466,
READ,DESeq,13,success,2026-01-21T19:03:28.501778,2026-01-21T19:03:31.735703,3.233925,
READ,DESeq,14,success,2026-01-21T19:03:31.736742,2026-01-21T19:03:34.969238,3.232496,
READ,DESeq,15,success,2026-01-21T19:03:34.970376,2026-01-21T19:03:38.386332,3.415956,
READ,DESeq,16,success,2026-01-21T19:03:38.387410,2026-01-21T19:03:41.622367,3.234957,
READ,DESeq,17,success,2026-01-21T19:03:41.623395,2026-01-21T19:03:44.967520,3.344125,
READ,DESeq,18,success,2026-01-21T19:03:44.968609,2026-01-21T19:03:48.230048,3.261439,
READ,DESeq,19,success,2026-01-21T19:03:48.231049,2026-01-21T19:03:51.463722,3.232673,
READ,DESeq,20,success,2026-01-21T19:03:51.464720,2026-01-21T19:03:54.778355,3.313635,
